City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp (Celsius),Wind Speed
Qaanaaq,92,GL,1570232079,79,77.48,-69.36,-5.06,0.41
Marrakesh,0,MA,1570232150,38,31.63,-7.99,23,1.5
Barabai,21,ID,1570232272,68,-2.59,115.38,26.92,1.02
Liverpool,75,GB,1570232101,93,53.41,-2.98,12.22,3.1
Atuona,0,PF,1570232082,72,-9.8,-139.03,26.99,7.59
Eureka,1,US,1570232165,72,40.8,-124.16,17.22,7.2
Ippy,100,CF,1570232274,97,6.26,21.2,20.07,1.11
Thompson,75,CA,1570232108,61,55.74,-97.86,9,4.6
Port-Gentil,20,GA,1570232274,94,-0.72,8.78,25,1.5
Challapata,57,BO,1570232274,67,-18.9,-66.78,9.99,6.61
Caxito,0,BR,1570232275,84,-22.65,-42.51,18.67,2.36
Terney,98,RU,1570232214,81,45.05,136.61,7.69,0.86
Barrow,46,AR,1570232072,96,-38.31,-60.23,5.25,3.55
Adrar,0,DZ,1570231937,19,27.87,-0.29,24,4.6
Prince Rupert,40,CA,1570232276,82,54.32,-130.32,13,2.6
Vaini,27,IN,1570232034,97,15.34,74.49,22.97,0.85
Talnakh,75,RU,1570232183,80,69.49,88.39,0,6
Languyan,90,FR,1570232277,93,48.3,-3.83,15,4.6
Avarua,86,CK,1570231790,94,-21.21,-159.78,22,4.1
Ixtapa,75,MX,1570232172,74,20.71,-105.21,30,5.1
Kodiak,75,US,1570232156,76,39.95,-94.76,14,4.6
Havoysund,75,NO,1570232148,93,71,24.66,3,5.1
Saurimo,100,AO,1570232278,93,-9.66,20.4,19.24,1.21
Burnie,91,AU,1570232085,50,-41.05,145.91,12.22,2.24
New Norfolk,20,AU,1570232066,53,-42.78,147.06,12.22,4.1
Lakes Entrance,1,AU,1570232278,60,-37.88,147.99,15.56,2.24
Kondinskoye,100,RU,1570232207,97,59.65,67.41,8.9,2.5
Bredasdorp,0,ZA,1570231791,81,-34.53,20.04,9.44,1.5
East London,71,ZA,1570232045,83,-33.02,27.91,15.31,0.81
Hithadhoo,99,MV,1570232060,68,-0.6,73.08,27.72,4.1
Puerto Penasco,0,MX,1570232280,66,31.32,-113.53,29.44,3.13
Ponta do Sol,0,BR,1570232118,48,-20.63,-46,21.96,2.29
Faanui,57,PF,1570232105,79,-16.48,-151.75,26.39,3.59
Priargunsk,0,RU,1570232280,55,50.37,119.09,3.4,1.67
Asosa,100,ET,1570232281,77,10.07,34.53,18.69,2.74
Kerema,99,PG,1570232281,82,-7.96,145.78,25.67,3.23
Saldanha,8,PT,1570232174,81,41.42,-6.55,14.46,1.31
Aketi,100,CD,1570232282,99,2.74,23.78,20.52,1.21
Tura,100,RU,1570232282,92,64.27,100.22,2.91,3.68
Anadyr,20,RU,1570232284,79,64.73,177.51,-2,15
Puerto Ayora,75,EC,1570232043,73,-0.74,-90.35,22,8.7
Codrington,40,AU,1570232054,60,-28.95,153.24,24,8.2
Khani,0,GE,1570232284,88,41.96,42.96,17,1.5
Ravar,68,IR,1570232285,39,31.27,56.81,14.01,1.32
Charters Towers,1,AU,1570232285,25,-20.07,146.27,25.44,7.63
Fort Smith,1,US,1570232055,83,35.39,-94.42,24.44,1.5
Fortuna,20,US,1570232286,59,40.6,-124.16,17.22,5.7
Havre-Saint-Pierre,20,CA,1570232286,60,50.23,-63.6,5,2.6
Shestakovo,40,RU,1570232286,76,56.49,103.96,1.89,4.01
Sindor,100,RU,1570232286,96,62.87,51.9,10.66,5.15
Sal Rei,75,CV,1570232287,78,16.18,-22.92,26,4.6
Ilhabela,0,BR,1570232287,88,-23.78,-45.36,21.36,2.34
Belaya Gora,100,RU,1570232287,64,68.54,146.19,-2.78,8.28
Laguna,40,BZ,1570232288,70,16.17,-88.94,31,1.14
Sturgeon Falls,5,CA,1570232288,80,46.36,-79.93,6.67,4.1
Leningradskiy,100,RU,1570232288,97,69.38,178.42,2.68,3.14
Mount Gambier,100,AU,1570232289,81,-37.83,140.78,12,6.2
Kieta,99,PG,1570232289,68,-6.22,155.63,28.76,1.86
Nikolskoye,90,RU,1570232289,80,59.7,30.79,2,5
Xuanhua,0,CN,1570232290,42,40.61,115.04,5.85,2.064
Airai,8,TL,1570232290,37,-8.93,125.41,28.43,1.33
Lerwick,4,GB,1570232290,87,60.15,-1.15,9,5.1
Provideniya,66,RU,1570232291,84,64.42,-173.23,-1.83,18.117
Hermanus,0,ZA,1570232291,95,-34.42,19.24,12.78,0.45
Yar-Sale,17,RU,1570232291,80,66.83,70.83,0.23,5.36
Georgetown,40,GY,1570232292,88,6.8,-58.16,27,3.1
Victoria,75,BN,1570232292,94,5.28,115.24,25,4.38
Bambous Virieux,40,MU,1570232292,94,-20.34,57.76,23,3.6
Kudahuvadhoo,92,MV,1570232292,68,2.67,72.89,27.52,1.7
Goderich,18,CA,1570232061,83,43.74,-81.71,10,6.7
Leh,0,IN,1570232293,62,34.16,77.58,-2.58,0.45
Dunedin,18,NZ,1570232293,67,-45.87,170.5,10,8.94
Cerrito,75,CO,1570232293,100,6.84,-72.7,21,2.6
Lorengau,100,PG,1570232294,81,-2.02,147.27,26.84,1.9
Lufilufi,38,WS,1570232294,66,-13.87,-171.6,30,3.58
Katsuura,40,JP,1570232294,77,33.93,134.5,23.33,4.1
Monte Aprazivel,0,BR,1570232295,21,-20.77,-49.71,32,1.5
Carutapera,27,BR,1570232295,77,-1.2,-46.02,26.21,2.89
Lalmohan,14,BD,1570232296,83,22.34,90.74,25.71,0.99
Matara,0,BI,1570232296,66,-3.48,29.48,10.9,1.14
Dikson,100,RU,1570232296,92,73.51,80.55,-3.67,11.18
Hilo,1,US,1570232030,55,19.71,-155.08,31,5.1
Arraial do Cabo,0,BR,1570232297,75,-22.97,-42.02,22.94,10.81
Alcudia,0,ES,1570232297,82,39.85,3.12,20.56,2.1
Cheremukhovo,100,RU,1570232297,85,56.23,46.23,13.78,3.269
Sur,16,OM,1570232297,51,22.57,59.53,28.24,4.76
Buchanan,75,LR,1570232298,94,5.88,-10.05,24,5.4
Port Hedland,0,AU,1570232298,34,-20.31,118.58,28,2.1
Pavlovsk,0,RU,1570232298,39,53.31,82.99,7,5
Tak,40,TH,1570232299,94,16.87,99.12,24,0.5
Cidreira,100,BR,1570232037,98,-30.17,-50.22,19.39,2.29
Olinda,43,AU,1570232299,71,-37.84,145.39,13.89,1.5
Baruun-Urt,0,MN,1570232299,45,46.68,113.28,2.69,2.54
Ilulissat,23,GL,1570232300,45,69.22,-51.1,7,1.5
Eyl,2,SO,1570232300,92,7.98,49.82,22.73,2.82
Praia da Vitoria,75,PT,1570232123,100,38.73,-27.07,20,5.04
Garowe,45,SO,1570232300,70,8.41,48.48,24.38,4.82
Narsaq,100,GL,1570232192,26,60.91,-46.05,13,18
Karsun,100,RU,1570232301,60,54.2,46.98,14.2,7.47
Mezen,100,RU,1570232301,97,65.85,44.24,0.32,7.13
Saint-Francois,93,FR,1570232301,76,46.42,3.91,14,2.1
Constitucion,40,MX,1570232302,29,23.99,-104.67,24,5.1
Sao Filipe,0,CV,1570232302,81,14.9,-24.5,26.18,7.59
Rizhao,100,CN,1570232302,54,35.43,119.46,12.95,7.19
Isangel,75,VU,1570232303,54,-19.55,169.27,27,6.2
High Rock,75,BS,1570232303,78,26.63,-78.28,28,5.1
Kumluca,0,TR,1570232303,83,36.37,30.29,18.66,1.414
Ganzhou,0,CN,1570232304,52,25.86,114.93,27.16,1.027
Port Alfred,10,ZA,1570232304,88,-33.59,26.89,14.44,1.34
Kathu,0,ZA,1570232304,20,-27.7,23.05,12.78,4.787
Norman Wells,20,CA,1570232305,64,65.28,-126.83,10,4.6
Chuy,100,UY,1570232305,97,-33.69,-53.46,15.07,3.223
Amberley,100,NZ,1570232305,93,-43.15,172.73,7.22,5.7
Klaksvik,40,FO,1570232306,87,62.23,-6.59,8,7.7
Lasa,0,CY,1570232306,82,34.92,32.53,21,2.1
Athens,20,GR,1570232108,82,37.98,23.73,21.11,4.75
Vao,93,EE,1570232307,82,59.1,26.19,2.67,4.2
Egvekinot,61,RU,1570232307,91,66.32,-179.17,-4.63,2.879
Bandarbeyla,19,SO,1570232120,80,9.49,50.81,24.57,3.62
Severo-Kurilsk,100,RU,1570232081,81,50.68,156.12,4.05,5.15
Cabo San Lucas,5,MX,1570232308,58,22.89,-109.91,30.56,3.6
Carnarvon,0,ZA,1570232308,22,-30.97,22.13,11.4,1.78
Vardo,1,US,1570232308,48,39.62,-77.74,18,5.7
Grenville,20,CA,1570232309,80,45.62,-74.6,8,2.1
Tessalit,0,ML,1570232309,11,20.2,1.01,29.08,5.05
Kununurra,50,AU,1570232109,61,-15.77,128.74,27,0.5
Port Macquarie,90,AU,1570232140,68,-31.43,152.91,19.44,3.6
Sibu,75,MY,1570232310,100,2.29,111.83,23,1
San Cristobal,86,HN,1570232310,88,14.68,-86.92,21.88,1.43
Sabang,0,PH,1570232310,95,13.8,121.11,26.11,0.63
Garmsar,0,IR,1570232310,63,35.22,52.34,10.81,1.17
Tuatapere,70,NZ,1570232311,63,-46.13,167.69,10,5.81
Kargasok,100,RU,1570232311,92,59.06,80.87,3.63,4.9
Ust-Uda,18,RU,1570232311,83,54.17,103.03,0.58,1.32
Pidhaytsi,75,UA,1570232312,100,49.27,25.13,7.78,0.53
Agua Dulce,75,MX,1570232312,70,18.14,-94.15,30,5.1
Gat,98,SN,1570232216,88,14.69,-16.54,27,2.6
Ulladulla,75,AU,1570232312,82,-35.36,150.48,17.22,4.1
Saint George,20,GR,1570232313,93,39.45,22.34,15,0.537
Santiago de Puringla,75,HN,1570232313,65,14.36,-87.9,26,4.6
Zanjan,0,IR,1570232110,90,36.67,48.48,9.15,0.19
Pacific Grove,1,US,1570232314,42,36.62,-121.92,25,4.1
Sola,0,TZ,1570232314,56,-3.17,33.8,21.35,4.81
Lima,90,PE,1570232314,88,-12.06,-77.04,17,7.7
Krasnoarmeysk,40,RU,1570232315,86,56.12,38.15,7.78,2
San Juan,0,AR,1570232315,46,-31.54,-68.53,6.12,2.15
Bayir,40,TR,1570232315,61,37.27,28.22,25,6.7
Ossora,18,RU,1570232315,41,59.24,163.07,3.2,1.96
Orel,0,CZ,1570232316,87,49.92,15.84,9,1
Luderitz,0,NA,1570232316,76,-26.65,15.16,14,2.6
Kindu,28,CD,1570232316,97,-2.95,25.92,20.42,0.616
Clyde River,90,CA,1570232317,72,70.47,-68.59,0,2.6
Omboue,100,GA,1570232317,86,-1.57,9.26,25.28,6.06
Iqaluit,75,CA,1570232317,74,63.75,-68.52,2,5.1
Sorong,46,ID,1570232317,85,-0.86,131.25,26.74,1.7
Port Elizabeth,1,US,1570232318,50,39.31,-74.98,16.67,3.6
Moundsville,75,US,1570232318,62,39.92,-80.74,15,3.6
Luganville,75,VU,1570232318,74,-15.51,167.18,27,8.2
Cap Malheureux,40,MU,1570232319,94,-19.98,57.61,23,3.6
Mahajanga,20,MG,1570232319,83,-15.72,46.32,25,1
Tual,58,ID,1570232319,80,-5.67,132.75,26.02,5.352
Benjamin Aceval,40,PY,1570232319,78,-24.97,-57.57,22,6.2
Ambon,90,FR,1570232320,93,47.55,-2.56,16.11,3.6
Flinders,75,AU,1570232320,82,-34.58,150.85,15,4.1
Verkhnevilyuysk,90,RU,1570232138,95,63.45,120.31,-2.28,1.48
Imeni Zhelyabova,0,RU,1570232321,96,58.95,36.6,0.21,2.591
Rocha,100,UY,1570232321,98,-34.48,-54.34,12.86,1.86
Raahe,0,FI,1570232321,74,64.68,24.47,1,5.1
Shubarkuduk,0,KZ,1570232322,28,49.15,56.49,9.49,3.945
Roald,0,NO,1570232322,52,62.58,6.12,5,3.6
Ponoka,75,CA,1570232322,40,52.68,-113.59,12.78,1.5
Ust-Kuyga,100,RU,1570232323,83,70,135.55,-5.87,2.65
Smithers,75,CA,1570232323,71,54.78,-127.17,11,2.1
Bathsheba,20,BB,1570232323,88,13.22,-59.52,26,2.6
Lata,0,IN,1570232323,66,30.78,78.62,-0.52,2.14
Quatre Cocos,40,MU,1570232324,94,-20.21,57.76,23,3.6
Wajir,3,KE,1570232324,69,1.75,40.07,25.42,7.05
Hasaki,0,JP,1570232104,61,35.73,140.83,25,5.7
Middelburg,82,NL,1570232325,93,51.5,3.61,13,4.6
Saint-Augustin,20,CA,1570232325,77,45.63,-73.98,8,2.1
Champerico,90,MX,1570232325,83,16.38,-93.6,25,3.6
Catuday,0,PH,1570232326,68,16.29,119.81,28.13,0.91
San Patricio,97,PY,1570232326,95,-26.98,-56.83,19.39,3.09
Loukhi,100,RU,1570232326,73,66.08,33.04,2.19,7.63
Ulaanbaatar,0,MN,1570232115,85,47.92,106.92,-10,2.06
Harper,1,US,1570232327,35,30.3,-99.24,33,2.1
Yellowknife,90,CA,1570232327,100,62.45,-114.38,6,4.6
Salem,75,US,1570232242,67,44.94,-123.03,17.22,3.1
Kropotkin,18,RU,1570232328,61,45.43,40.58,18.26,3
Chara,20,GR,1570232328,93,39.42,22.43,15,1.78
Mahebourg,40,MU,1570232328,94,-20.41,57.7,23,3.6
Tenamaxtlan,29,MX,1570232329,91,20.22,-104.17,19.78,0.88
Nassau,75,AT,1570232329,87,46.81,15.34,8.33,1
Gayeri,52,BF,1570232329,60,12.65,0.49,26.22,4.764
Botucatu,5,BR,1570232330,59,-22.89,-48.44,20.36,2.74
Chongwe,0,ZM,1570232330,68,-15.33,28.68,19,3.1
Cortez,1,US,1570232330,16,37.35,-108.58,24,9.3
Dongsheng,83,CN,1570232330,71,29.72,112.52,20.81,8.223
Aksu,0,KZ,1570232331,86,52.04,76.93,1,1
Turayf,0,SA,1570232331,28,31.68,38.65,21,1.5
Auki,96,NG,1570232331,87,12.18,6.51,22.79,4.65
Udachnyy,90,RU,1570232093,79,66.42,112.4,-4,3
Batagay,39,RU,1570232332,54,67.65,134.64,-6.08,1.82
Karratha,0,AU,1570232332,23,-20.74,116.85,25.25,3.19
Itoman,20,JP,1570232087,74,26.12,127.67,26,4.1
Mao,90,DO,1570232333,88,19.55,-71.08,25,4.6
Nosy Varika,47,MG,1570232333,92,-20.58,48.53,20.74,1.36
Marsabit,0,KE,1570232333,53,2.34,37.99,26.65,7.98
Yakeshi,0,CN,1570232333,56,49.28,120.73,2.35,2.38
Kavieng,47,PG,1570232334,68,-2.57,150.8,28.77,2.56
Gloggnitz,90,AT,1570232334,76,47.68,15.94,11.67,2.6
Mehamn,99,NO,1570232334,80,71.03,27.85,2.96,3.306
Najran,0,SA,1570232335,29,17.54,44.22,24,0.47
Dholka,20,IN,1570232335,94,22.73,72.44,25,2.7
Palembang,78,ID,1570232335,81,-2.99,104.76,23.99,1.49
Vila Velha,75,BR,1570232335,74,-3.71,-38.6,27,4.6
Bethel,90,US,1570232336,81,60.79,-161.76,7,6.7
Camacha,75,PT,1570232051,83,33.08,-16.33,23,2.6
Aksarka,48,RU,1570232336,90,66.56,67.8,-0.18,4.78
Luebo,84,CD,1570232337,97,-5.35,21.42,21.04,0.87
Maragogi,3,BR,1570232337,74,-9.01,-35.22,25.52,7.716
Hami,97,CN,1570232337,35,42.84,93.51,11.56,2.029
Tocopilla,67,CL,1570232338,83,-22.09,-70.2,14.46,5.57
Shaunavon,78,CA,1570232338,65,49.65,-108.41,8.69,4
Hamilton,40,CA,1570232290,70,43.26,-79.87,10.56,1.5
Da Lat,100,VN,1570232338,96,11.95,108.44,16.32,0.722
Chukhloma,100,RU,1570232339,88,58.76,42.68,3.23,1.66
Riohacha,20,CO,1570232339,84,11.54,-72.91,30,5.7
Nsanje,0,MZ,1570232339,80,-16.92,35.26,21.29,2.87
Abu Kamal,0,SY,1570232340,23,34.45,40.92,21.24,2.9
Creston,90,CA,1570232263,75,49.1,-116.52,8,1.81
Oskarshamn,37,SE,1570232340,86,57.26,16.44,5.56,2.6
Coahuayana,47,MX,1570232341,87,18.62,-100.35,25.07,0.82
Sabya,40,SA,1570232341,79,17.15,42.62,31,1.5
Xichang,62,CN,1570232341,94,27.88,102.25,11.71,0.95
Avera,75,US,1570232341,52,33.19,-82.53,36,1.5
Saint-Gaudens,75,FR,1570232342,93,43.11,0.72,14.44,2.6
Suntar,44,RU,1570232198,84,62.16,117.65,-1.34,2.14
Khalkhal,0,IR,1570232342,88,37.62,48.53,6.36,0.54
Kavaratti,61,IN,1570232342,73,10.57,72.64,27.45,2.86
Paamiut,100,GL,1570232343,66,61.99,-49.67,6.7,10.57
Amahai,58,ID,1570232343,83,-3.31,129,25.56,2.372
Antofagasta,90,CL,1570232344,71,-23.65,-70.4,14,5.1
Zhigansk,0,RU,1570232344,64,66.77,123.37,-5.56,2.66
Teya,75,MX,1570232344,62,21.05,-89.07,31,3.6
Nizhniy Tsasuchey,0,RU,1570232345,56,50.52,115.13,4.66,4.36
Noshiro,75,JP,1570232345,82,40.21,140.05,19,2.1
Hashtrud,0,IR,1570232345,86,37.48,47.05,8.25,1.01
El Alto,75,BO,1570232346,87,-16.5,-68.19,7,2.6
Krasnogorskiy,100,RU,1570232346,95,55.39,83.61,6.28,3.09
Haines Junction,55,CA,1570232346,50,60.75,-137.51,3.88,4.47
Kruisfontein,9,ZA,1570232347,86,-34,24.73,11.48,1.98
Benoy,0,RU,1570232347,100,43.06,46.02,13,2.52
Claremore,90,US,1570232158,69,36.31,-95.62,25,1.5
Canico,40,PT,1570232347,78,32.63,-16.85,23,3.6
Slobidka,49,UA,1570232348,72,48.42,26.77,5.68,0.724
Tevaitoa,67,PF,1570232348,79,-16.78,-151.5,26.46,3.921
Itaqui,97,BR,1570232349,90,-29.13,-56.55,17.83,5.38
Vostok,64,RU,1570232349,81,46.45,135.83,4.52,1.64
Yerofey Pavlovich,77,RU,1570232349,63,53.97,121.97,0.95,1.41
Padang,82,ID,1570232214,85,-0.92,100.36,25.89,5.03
Henties Bay,0,NA,1570232350,87,-22.12,14.28,14.16,1.92
Kungurtug,0,RU,1570232350,65,50.6,97.53,-4.03,0.71
Kuytun,50,RU,1570232350,67,54.34,101.51,1.63,1.634
San Rafael,26,AR,1570232251,25,-34.61,-68.33,11.46,3.08
Enumclaw,75,US,1570232351,93,47.2,-121.99,16.11,2.6
Hassleholm,99,SE,1570232351,75,56.16,13.77,6.11,4.1
Wasilla,90,US,1570232337,93,61.58,-149.44,12,5.7
Banyo,100,CM,1570232148,85,6.75,11.81,18.61,1.39
Maykor,81,RU,1570232352,93,59.01,55.89,11.14,4.4
Los Llanos de Aridane,90,ES,1570232352,78,28.66,-17.92,23,7.2
Mar del Plata,22,AR,1570232352,33,-46.43,-67.52,11.98,5.14
Guilin,0,CN,1570232352,94,25.28,110.29,21,0.405
Gao,0,ML,1570232353,11,16.28,-0.04,33.36,2.36
Zastron,74,ZA,1570232353,27,-30.3,27.08,7.87,0.636
Waingapu,0,ID,1570232354,62,-9.65,120.26,26.37,3.5
Thinadhoo,100,MV,1570232354,76,0.53,72.93,27.29,3.93
Geraldton,5,CA,1570232354,46,49.72,-86.95,10,1
Tambovka,0,RU,1570232354,61,47.32,47.38,14.04,5.49
Tanout,74,NE,1570232355,35,14.97,8.88,31.93,5.4
Aksay,4,KZ,1570232355,29,51.17,53.01,11.05,4.39
Sorland,98,NO,1570232355,60,67.67,12.69,6.88,6.106
Sisimiut,22,GL,1570232356,76,66.94,-53.67,4.74,9.44
Arandis,0,NA,1570232356,32,-22.42,14.98,17.1,1.482
Tagusao,88,PH,1570232356,68,9.19,117.81,28.58,2.51
Zhanaozen,0,KZ,1570232357,40,43.35,52.85,12.52,5.1
Miraflores,40,PE,1570232203,66,-16.39,-71.52,13,3.1
Kankakee,1,US,1570232357,62,41.12,-87.86,14,4.6
Tilichiki,54,RU,1570232357,50,60.47,166.1,1.7,1.408
Byron Bay,90,AU,1570232358,78,-28.65,153.62,25,6.7
Cedar City,1,US,1570232088,7,37.68,-113.06,22,7.2
Kamina,17,CD,1570232358,85,-8.74,25,19.25,1.1
Husavik,53,CA,1570232359,71,50.56,-96.99,9.44,1.79
Tallahassee,75,US,1570232166,58,30.44,-84.28,32,3.1
Dali,100,CN,1570232359,82,34.79,109.94,14.84,4.26
Kissidougou,99,GN,1570232359,96,9.19,-10.1,20.81,1.12
Morros,38,BR,1570232360,83,-2.87,-44.04,27,4.1
Phan Thiet,58,VN,1570232360,88,10.93,108.1,24.98,0.95
Areia Branca,20,BR,1570232360,69,-10.76,-37.31,26,5.1
Khash,25,IR,1570232360,69,28.22,61.21,13.4,2.01
Westport,1,US,1570232361,50,41.14,-73.36,14.44,3.6
Ulaangom,0,MN,1570232361,71,49.98,92.07,-2.23,0.072
Alta Floresta,87,BR,1570232366,55,-9.87,-56.08,27.87,0.17
Mlonggo,20,ID,1570232372,64,-6.53,110.7,23,1
Necochea,100,AR,1570232372,95,-38.55,-58.74,10.56,0.45
Coleraine,100,AU,1570232373,78,-37.6,141.69,14.15,3.42
Fairbanks,90,US,1570232373,93,64.84,-147.72,4,1.89
Providencia,40,CO,1570232373,82,1.24,-77.6,19,3.1
Craig,1,US,1570232374,14,40.52,-107.55,21,16.5
Shangrao,0,CN,1570232374,72,28.45,117.97,25.21,3.289
Caronport,90,CA,1570232374,81,50.46,-105.81,8.89,2.6
Chapais,90,CA,1570232375,93,49.78,-74.86,3,1
Soyo,86,AO,1570232375,85,-6.13,12.37,23.76,3.078
Jumla,55,NP,1570232375,85,29.28,82.18,5.99,1.91
Santiago de Cao,90,PE,1570232375,82,-7.96,-79.24,17,5.7
Guerrero Negro,0,MX,1570232376,73,27.97,-114.04,20.41,6.35
Zatoka,75,PL,1570232376,93,50.04,20.52,8.33,2.6
Ozernovskiy,100,RU,1570232376,67,51.5,156.52,4.41,2.59
Bosaso,0,SO,1570232377,69,11.28,49.18,29.58,1.91
Uyuni,38,BO,1570232377,26,-20.46,-66.82,8.46,5.71
Grand Gaube,40,MU,1570232377,94,-20.01,57.66,23,3.6
Ouro Preto do Oeste,24,BR,1570232378,75,-10.75,-62.22,24.98,2.09
Mackay,75,CA,1570232378,50,53.65,-115.58,11,5.7
Nabire,64,ID,1570232378,71,-3.36,135.5,26.45,1.21
Loa Janan,25,ID,1570232379,89,-0.58,117.09,25.48,1.262
Meulaboh,100,ID,1570232379,81,4.14,96.13,26.27,4.898
Gamba,14,CN,1570232379,79,28.28,88.52,-0.36,0.96
Port Blair,20,IN,1570232379,94,11.67,92.75,24,0.5
Qaqortoq,100,GL,1570232380,26,60.72,-46.03,13,18
Huarmey,21,PE,1570232380,91,-10.07,-78.15,16.36,10.29
Calinesti,100,RO,1570232380,92,44.82,25.05,7.86,0.733
Sumter,1,US,1570232381,55,33.92,-80.34,34,3.24
Longyearbyen,75,NO,1570232381,90,78.22,15.63,0,1
Diego de Almagro,2,CL,1570232381,95,-26.39,-70.05,6.87,0.27
Slave Lake,75,CA,1570232136,54,55.28,-114.77,12,5.7
Abha,0,SA,1570232382,33,18.22,42.5,18,3.6
Kiama,75,AU,1570232382,82,-34.67,150.86,15,4.1
Pangnirtung,40,CA,1570232382,69,66.15,-65.72,2,4.1
Searcy,1,US,1570232383,44,35.25,-91.74,26,4.1
Jiuquan,96,CN,1570232383,48,39.73,98.49,6.15,2.87
Taltal,0,CL,1570232383,85,-25.41,-70.49,10.32,1.55
Krasnogorodsk,95,RU,1570232383,94,56.83,28.28,3.2,2.692
Xuddur,99,SO,1570232384,83,4.12,43.89,23.62,3.45
Saint-Pierre,90,FR,1570232384,93,48.95,4.24,13,5.7
Nome,40,US,1570232207,58,30.04,-94.42,32.78,2.6
Ushumun,5,RU,1570232385,58,52.78,126.54,2.74,2.36
Sawakin,0,SD,1570232385,86,19.1,37.33,24.17,0.89
Vuktyl,100,RU,1570232385,83,63.86,57.31,2.52,5.26
Victor Harbor,0,AU,1570232386,31,-35.55,138.62,28.33,5.1
Lompoc,1,US,1570232386,43,34.64,-120.46,24.44,5.7
Srednekolymsk,100,RU,1570232386,69,67.46,153.71,-3.66,7.4
Salalah,20,OM,1570232387,83,17.01,54.1,26,3.1
Wuda,9,CN,1570232387,57,39.5,106.72,8.87,10.056
Kanker,0,IN,1570232387,95,20.27,81.49,20.71,0.39
Maloy,41,ID,1570232388,76,1,118.1,26.58,1.32
Saint Anthony,90,US,1570232388,61,43.97,-111.68,8,6.7
Pevek,100,RU,1570232388,79,69.7,170.27,-0.41,12.25
Masvingo,45,ZW,1570232388,62,-20.08,30.83,18.36,2.54
Sayyan,2,YE,1570232389,74,15.17,44.32,19.62,0.59
Rome,68,IT,1570232389,71,41.89,12.48,16.67,2.6
